title,price,price_numeric,location,property_url
3-Bedroom + DSQ Apartment for Sale in Kilimani – 130 sqm at KES 12.9M (75% Sold Out) | Wood Garden Road,"Ksh12,900,000",12900000.0,Kilimani,https://realtors.co.ke/property/perfect-location-3-bedroom-apartment-for-sale/
3 Bedroom Apartment for sale at Riverside Drive,"Ksh38,000,000",38000000.0,"Riverside, Westlands",https://realtors.co.ke/property/3-bedroom-apartment-for-sale-at-riverside-drive/
Modern 3-Bedroom Apartments for Sale in Lavington,"Ksh18,400,000",18400000.0,Lavington,https://realtors.co.ke/property/spacious-3-bedroom-apartment-for-sale-in-lavington/
Spacious 3 Bedroom Apartment for Sale in Kileleshwa – Maiga Mairu Road,"Ksh14,000,000",14000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/spacious-3-bedroom-apartment-for-sale-in-kileleshwa-maiga-mairu-road/
Mogotio Oasis | Modern 3-Bedroom Apartments for Sale in Westlands,"Ksh14,800,000",14800000.0,"Westlands, Nairobi",https://realtors.co.ke/property/mogotio-oasis-modern-3-bedroom-apartments-for-sale-in-westlands/
Seefar Apartments 2 Bed For Sale In Langata Highrise Estate,"Ksh6,000,000",6000000.0,Nairobi,https://realtors.co.ke/property/seefar-apartments-2-bed-for-sale-in-langata-highrise-estate/
Modern 2-Bedroom Apartments for Sale in Westlands,"Ksh28,000,000",28000000.0,"Westlands, Nairobi",https://realtors.co.ke/property/2-bedroom-apartments-for-sale-at-sunset-park-residences/
"3 Bedroom Apartment for Sale in Kilimani, Elgeyo Road – Ultra-Modern Luxury Living | KES 30M","Ksh30,000,000",30000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/3-bedroom-apartment-for-sale-in-kilimani-elgeyo-road-ultra-modern-luxury-living-kes-30m/
Modern 5-Bedroom | Crystal Oak Residency,"Ksh41,000,000",41000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-5-bedroom-crystal-oak-residency/
Modern 4-Bedroom | Crystal Oak Residency,"Ksh26,000,000",26000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-4-bedroom-crystal-oak-residency/
Modern 3-Bedroom | Crystal Oak Residency,"Ksh24,000,000",24000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-3-bedroom-crystal-oak-residency/
Cheval Luxury Apartments | 2-Bedroom,"Ksh14,000,000",14000000.0,"Westlands, Nairobi",https://realtors.co.ke/property/cheval-luxury-apartments-2-bedroom/
Luxurious 2 Bedroom Apartment + Utility Room,"Ksh11,000,000",11000000.0,Kileleshwa,https://realtors.co.ke/property/luxurious-2-bedroom-apartment-utility-room/
Cheval Luxury Apartments | 1-Bedroom,"Ksh8,300,000",8300000.0,"Westlands, Nairobi",https://realtors.co.ke/property/cheval-luxury-apartments-1-bedroom/
Modern 1-Bedroom Apartments for Sale in Kileleshwa,"Ksh4,880,000",4880000.0,Kileleshwa,https://realtors.co.ke/property/luxury-1-bedroom-in-kileleshwa/
